specI_cluster	ref-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
specI_v3_11388	ref_mOTU_v25_11388	2 Bacteria	1239 Firmicutes	186801 Clostridia	68295 Thermoanaerobacterales	543371 Thermoanaerobacterales Family III. Incertae Sedis	159730 Thermovenabulum	520767 Thermovenabulum gondwanense
specI_v3_02118	ref_mOTU_v25_02118	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	1491775 Proteinivoraceae	42447 Anaerobranca	108328 Anaerobranca gottschalkii
specI_v3_12184	ref_mOTU_v25_12184	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	NA Cytophagales fam. incertae sedis	1433993 Chryseolinea	947013 Chryseolinea serpens
specI_v3_06844	ref_mOTU_v25_06844	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186807 Peptococcaceae	1562 Desulfotomaculum	74701 Desulfotomaculum putei
specI_v3_05295	ref_mOTU_v25_05295	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	145360 Sanguibacteraceae	60919 Sanguibacter	60920 Sanguibacter keddieii
specI_v3_01391	ref_mOTU_v25_01391	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	357 Agrobacterium	358 Agrobacterium tumefaciens
specI_v3_11315	ref_mOTU_v25_11315	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	69541 Desulfuromonadales	213422 Geobacteraceae	392332 Geoalkalibacter	483547 Geoalkalibacter subterraneus
specI_v3_06454	ref_mOTU_v25_06454	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	859144 Bacillus gottheilii
specI_v3_09751	ref_mOTU_v25_09751	2 Bacteria	67812 Candidatus Omnitrophica	NA Candidatus Omnitrophica class incertae sedis	NA Candidatus Omnitrophica order incertae sedis	NA Candidatus Omnitrophica fam. incertae sedis	NA Candidatus Omnitrophica gen. incertae sedis	1801818 Omnitrophica bacterium RBG_13_46_9
specI_v3_04990	ref_mOTU_v25_04990	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1653 Corynebacteriaceae	1716 Corynebacterium	161879 Corynebacterium kroppenstedtii
specI_v3_06214	ref_mOTU_v25_06214	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	206379 Nitrosomonadaceae	914 Nitrosomonas	916 Nitrosomonas eutropha
specI_v3_09414	ref_mOTU_v25_09414	2 Bacteria	62680 Candidatus Marinimicrobia	NA Candidatus Marinimicrobia class incertae sedis	NA Candidatus Marinimicrobia order incertae sedis	NA Candidatus Marinimicrobia fam. incertae sedis	NA Candidatus Marinimicrobia gen. incertae sedis	1781243 Marinimicrobia bacterium TCS52
specI_v3_12024	ref_mOTU_v25_12024	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	28196 Arcobacter	877500 Arcobacter anaerophilus
specI_v3_11068	ref_mOTU_v25_11068	2 Bacteria	976 Bacteroidetes	117747 Sphingobacteriia	200666 Sphingobacteriales	84566 Sphingobacteriaceae	84567 Pedobacter	390241 Pedobacter rhizosphaerae
specI_v3_02683	ref_mOTU_v25_02683	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	1268 Micrococcaceae	1663 Arthrobacter	290399 Arthrobacter sp. FB24
specI_v3_00897	ref_mOTU_v25_00897	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	209 Helicobacter	210 Helicobacter pylori
specI_v3_06829	ref_mOTU_v25_06829	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213119 Desulfobacteraceae	2289 Desulfobacter	2290 Desulfobacter curvatus
specI_v3_08262	ref_mOTU_v25_08262	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	303240 Lactobacillus uvarum
specI_v3_08462	ref_mOTU_v25_08462	2157 Archaea	28890 Euryarchaeota	183968 Thermococci	2258 Thermococcales	2259 Thermococcaceae	2263 Thermococcus	1505907 Thermococcus eurythermalis
specI_v3_11435	ref_mOTU_v25_11435	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1253 Pediococcus	54062 Pediococcus parvulus
specI_v3_03021	ref_mOTU_v25_03021	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	33882 Microbacterium	1298860 Microbacterium sp. URHA0036
specI_v3_07188	ref_mOTU_v25_07188	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	1920240 Kangiellaceae	261963 Kangiella	1144748 Kangiella sediminilitoris
specI_v3_10604	ref_mOTU_v25_10604	2 Bacteria	200795 Chloroflexi	292625 Anaerolineae	NA Anaerolineae order incertae sedis	NA Anaerolineae fam. incertae sedis	NA Anaerolineae gen. incertae sedis	1961102 Anaerolineae bacterium UTCFX3
specI_v3_06912	ref_mOTU_v25_06912	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	1853232 Hymenobacteraceae	89966 Hymenobacter	223903 Hymenobacter norwichensis
specI_v3_11805	ref_mOTU_v25_11805	2157 Archaea	28890 Euryarchaeota	224756 Methanomicrobia	2191 Methanomicrobiales	2194 Methanomicrobiaceae	2204 Methanomicrobium	2205 Methanomicrobium mobile
specI_v3_00327	ref_mOTU_v25_00327	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	580165 Bacillus cytotoxicus
specI_v3_09921	ref_mOTU_v25_09921	2 Bacteria	142182 Gemmatimonadetes	NA Gemmatimonadetes class incertae sedis	NA Gemmatimonadetes order incertae sedis	NA Gemmatimonadetes fam. incertae sedis	NA Gemmatimonadetes gen. incertae sedis	1805202 Gemmatimonadetes bacterium 13_2_20CM_2_65_7
specI_v3_10726	ref_mOTU_v25_10726	2 Bacteria	57723 Acidobacteria	332159 Solibacteres	332160 Solibacterales	332161 Solibacteraceae	332162 Candidatus Solibacter	332163 Candidatus Solibacter usitatus
specI_v3_09019	ref_mOTU_v25_09019	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	1674852 Clostridiales bacterium Firm_14
specI_v3_09544	ref_mOTU_v25_09544	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	1797683 Clostridiales bacterium GWF2_38_85
specI_v3_09556	ref_mOTU_v25_09556	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	NA Deltaproteobacteria order incertae sedis	NA Deltaproteobacteria fam. incertae sedis	NA Deltaproteobacteria gen. incertae sedis	1797805 Deltaproteobacteria bacterium GWA2_45_12
specI_v3_10464	ref_mOTU_v25_10464	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	292691 Gramella	1913577 Gramella salexigens
specI_v3_01653	ref_mOTU_v25_01653	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903409 Erwiniaceae	53335 Pantoea	1076551 Pantoea wallisii
specI_v3_09833	ref_mOTU_v25_09833	2 Bacteria	1752732 Candidatus Uhrbacteria	NA Candidatus Uhrbacteria class incertae sedis	NA Candidatus Uhrbacteria order incertae sedis	NA Candidatus Uhrbacteria fam. incertae sedis	NA Candidatus Uhrbacteria gen. incertae sedis	1802410 Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_51_9
specI_v3_05151	ref_mOTU_v25_05151	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	75658 Campylobacter lanienae
specI_v3_06291	ref_mOTU_v25_06291	2 Bacteria	201174 Actinobacteria	84995 Rubrobacteria	84996 Rubrobacterales	84997 Rubrobacteraceae	42255 Rubrobacter	42256 Rubrobacter radiotolerans
specI_v3_02328	ref_mOTU_v25_02328	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	475 Moraxella	90240 Moraxella caprae
specI_v3_11827	ref_mOTU_v25_11827	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	1853232 Hymenobacteraceae	323449 Pontibacter	323450 Pontibacter actiniarum
specI_v3_12170	ref_mOTU_v25_12170	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	80864 Comamonadaceae	174951 Ramlibacter	94132 Ramlibacter tataouinensis
specI_v3_07351	ref_mOTU_v25_07351	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	772 Bartonellaceae	773 Bartonella	481139 Bartonella rattaustraliani
specI_v3_03924	ref_mOTU_v25_03924	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	290174 Aquimarina	1317122 Aquimarina atlantica
specI_v3_02656	ref_mOTU_v25_02656	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	400634 Lysinibacillus	1680467 Lysinibacillus sp. AC-3
specI_v3_03063	ref_mOTU_v25_03063	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	33882 Microbacterium	162426 Microbacterium hominis
specI_v3_07710	ref_mOTU_v25_07710	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	1263 Ruminococcus	1262958 Ruminococcus sp. CAG:403
specI_v3_11013	ref_mOTU_v25_11013	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	2211636 Cognatiyoonia	364200 Cognatiyoonia koreensis
specI_v3_06188	ref_mOTU_v25_06188	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	44013 Polynucleobacter	576611 Polynucleobacter asymbioticus
specI_v3_05455	ref_mOTU_v25_05455	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	135620 Oceanospirillaceae	28253 Marinomonas	1792290 Marinomonas spartinae
specI_v3_09900	ref_mOTU_v25_09900	2 Bacteria	67814 Caldiserica	693071 Caldisericia	693072 Caldisericales	693073 Caldisericaceae	693074 Caldisericum	1805053 Caldisericum sp. CG2_30_36_11
specI_v3_04048	ref_mOTU_v25_04048	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135625 Pasteurellales	712 Pasteurellaceae	416916 Aggregatibacter	732 Aggregatibacter aphrophilus
specI_v3_00649	ref_mOTU_v25_00649	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	42684 Streptomyces collinus
specI_v3_07546	ref_mOTU_v25_07546	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85008 Micromonosporales	28056 Micromonosporaceae	1865 Actinoplanes	196914 Actinoplanes friuliensis
specI_v3_10504	ref_mOTU_v25_10504	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	563798 Cyclobacteriaceae	246875 Algoriphagus	1925762 Algoriphagus marinus
specI_v3_02295	ref_mOTU_v25_02295	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	118969 Legionellales	444 Legionellaceae	445 Legionella	39962 Legionella moravica
specI_v3_09444	ref_mOTU_v25_09444	2 Bacteria	200940 Thermodesulfobacteria	67799 Thermodesulfobacteria	188710 Thermodesulfobacteriales	188711 Thermodesulfobacteriaceae	241192 Thermodesulfatator	1795632 Thermodesulfatator autotrophicus
specI_v3_08299	ref_mOTU_v25_08299	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1653 Corynebacteriaceae	1716 Corynebacterium	191493 Corynebacterium sphenisci
specI_v3_03107	ref_mOTU_v25_03107	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	85025 Nocardiaceae	1817 Nocardia	37332 Nocardia seriolae
specI_v3_00542	ref_mOTU_v25_00542	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	506 Alcaligenaceae	222 Achromobacter	1806484 Achromobacter sp. ATCC31444
specI_v3_11346	ref_mOTU_v25_11346	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	1706369 Cellvibrionales	1706371 Cellvibrionaceae	10 Cellvibrio	155077 Cellvibrio japonicus
specI_v3_03382	ref_mOTU_v25_03382	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	1644055 Haloferacales	1963271 Halorubraceae	56688 Halorubrum	2248 Halorubrum saccharovorum
specI_v3_07511	ref_mOTU_v25_07511	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	732242 Bacteroides paurosaccharolyticus
specI_v3_08637	ref_mOTU_v25_08637	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	32011 Methylophilaceae	1679002 Candidatus Methylopumilus	1581680 Candidatus Methylopumilus turicensis
specI_v3_02474	ref_mOTU_v25_02474	2 Bacteria	200940 Thermodesulfobacteria	67799 Thermodesulfobacteria	188710 Thermodesulfobacteriales	188711 Thermodesulfobacteriaceae	1740 Thermodesulfobacterium	53424 Thermodesulfobacterium hveragerdense
specI_v3_11515	ref_mOTU_v25_11515	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	351195 Salimicrobium	570947 Salimicrobium flavidum
specI_v3_07512	ref_mOTU_v25_07512	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	91914 Asaia	610244 Asaia astilbis
specI_v3_02547	ref_mOTU_v25_02547	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135622 Alteromonadales	72275 Alteromonadaceae	1621534 Paraglaciecola	326544 Paraglaciecola psychrophila
