study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB32631	ERP115334	SAMEA5616561	ERS3420743	ERX3428278	ERR3404626	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404626/ERR3404626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404626/ERR3404626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404626/14792#21.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404626/14792#21.bam.bai		
PRJEB32631	ERP115334	SAMEA5616562	ERS3420744	ERX3428279	ERR3404627	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3404627/ERR3404627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3404627/ERR3404627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404627/14792#22.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404627/14792#22.bam.bai		
PRJEB32631	ERP115334	SAMEA5616569	ERS3420751	ERX3428281	ERR3404629	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404629/ERR3404629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404629/ERR3404629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404629/14792#24.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404629/14792#24.bam.bai		
PRJEB32631	ERP115334	SAMEA5616621	ERS3420803	ERX3428287	ERR3404635	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3404635/ERR3404635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3404635/ERR3404635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404635/14792#30.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404635/14792#30.bam.bai		
PRJEB32631	ERP115334	SAMEA5616605	ERS3420787	ERX3428288	ERR3404636	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404636/ERR3404636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404636/ERR3404636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404636/14792#31.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404636/14792#31.bam.bai		
PRJEB32631	ERP115334	SAMEA5616606	ERS3420788	ERX3428289	ERR3404637	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3404637/ERR3404637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3404637/ERR3404637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404637/14792#32.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404637/14792#32.bam.bai		
PRJEB32631	ERP115334	SAMEA5616556	ERS3420738	ERX3428292	ERR3404640	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3404640/ERR3404640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3404640/ERR3404640_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404640/14792#35.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404640/14792#35.bam.bai		
PRJEB32631	ERP115334	SAMEA5616557	ERS3420739	ERX3428293	ERR3404641	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404641/ERR3404641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404641/ERR3404641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404641/14792#36.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404641/14792#36.bam.bai		
PRJEB32631	ERP115334	SAMEA5616596	ERS3420778	ERX3428296	ERR3404644	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404644/ERR3404644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404644/ERR3404644_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404644/14794#2.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404644/14794#2.bam.bai		
PRJEB32631	ERP115334	SAMEA5616567	ERS3420749	ERX3428301	ERR3404649	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404649/ERR3404649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404649/ERR3404649_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404649/14794#7.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404649/14794#7.bam.bai		
