"","asv","homd"
"1","ASV1","Streptococcus oralis subsp. dentisani clade 058"
"2","ASV2","Haemophilus parainfluenzae"
"3","ASV3","Veillonella dispar"
"4","ASV4","Veillonella dispar"
"5","ASV5","Neisseria flava"
"6","ASV6","Prevotella melaninogenica"
"7","ASV7","Corynebacterium matruchotii"
"8","ASV8","Neisseria cinerea"
"9","ASV9","Streptococcus salivarius"
"10","ASV10","Veillonella parvula"
"11","ASV11","Haemophilus sp. HMT 036"
"12","ASV12","Gemella sanguinis"
"13","ASV13","Rothia dentocariosa"
"14","ASV14","Actinomyces sp. HMT 175"
"15","ASV15","Streptococcus sanguinis"
"16","ASV16","Prevotella histicola"
"17","ASV17","Porphyromonas sp. HMT 278"
"18","ASV18","Prevotella nigrescens"
"19","ASV19","Streptococcus sp. HMT 056"
"20","ASV20","Aggregatibacter sp. HMT 512"
"21","ASV21","Schaalia sp. HMT 180"
"22","ASV22","Fusobacterium sp. HMT 203"
"23","ASV23","Leptotrichia sp. HMT 417"
"24","ASV24","Leptotrichia hongkongensis"
"25","ASV25","Actinomyces naeslundii"
"26","ASV26","Fusobacterium nucleatum subsp. animalis"
"27","ASV27","Actinomyces sp. HMT 448"
"28","ASV28","Veillonella sp. HMT 780"
"29","ASV29","Granulicatella elegans"
"30","ASV30","Alloprevotella sp. HMT 473"
"31","ASV31","Granulicatella adiacens"
"32","ASV32","Prevotella scopos"
"33","ASV33","Fusobacterium periodonticum"
"34","ASV34","Neisseria elongata"
"35","ASV35","Prevotella denticola"
"36","ASV36","Streptococcus sinensis"
"37","ASV37","Prevotella sp. HMT 313"
"38","ASV38","Rothia aeria"
"39","ASV39","Lautropia mirabilis"
"40","ASV40","Kingella oralis"
"41","ASV41","Veillonella denticariosi"
"42","ASV42","Rothia mucilaginosa"
"43","ASV43","Streptococcus parasanguinis clade 411"
"44","ASV44","Haemophilus paraphrohaemolyticus"
"45","ASV45","Capnocytophaga sputigena"
"46","ASV46","Alloprevotella sp. HMT 308"
"47","ASV47","Veillonella dispar"
"48","ASV48","Fusobacterium nucleatum subsp. vincentii"
"49","ASV49","Peptidiphaga sp. HMT 183"
"50","ASV50","Capnocytophaga leadbetteri"
"51","ASV51","Aggregatibacter paraphrophilus"
"52","ASV52","Capnocytophaga granulosa"
